|||Sütunlar|
Satırlar|||Tüketici Madde Fiyatları (2003=100)|
|||Türkiye-TR|
||||
||0451001. (Elektrik Ücreti)|0.3585|
||0452101. (Doğal Gaz)|1.0669|
||0830009. (İnternet Ücreti)|58.5834|
|10-Ekim|0122101. (Su)|0.4011|
||0451001. (Elektrik Ücreti)|0.3585|
||0452101. (Doğal Gaz)|1.0684|
||0830009. (İnternet Ücreti)|58.5834|
|11-Kasım|0122101. (Su)|0.4022|
||0451001. (Elektrik Ücreti)|0.3585|
||0452101. (Doğal Gaz)|1.0687|
||0830009. (İnternet Ücreti)|58.5834|
|12-Aralık|0122101. (Su)|0.403|
||0451001. (Elektrik Ücreti)|0.3585|
||0452101. (Doğal Gaz)|1.0696|
||0830009. (İnternet Ücreti)|58.5834|
2014|01-Ocak|0122101. (Su)|0.4205|
||0451001. (Elektrik Ücreti)|0.3577|
||0452101. (Doğal Gaz)|1.0703|
||0830009. (İnternet Ücreti)|68.7486|
|02-Şubat|0122101. (Su)|0.4286|
||0451001. (Elektrik Ücreti)|0.3577|
||0452101. (Doğal Gaz)|1.0733|
||0830009. (İnternet Ücreti)|68.7486|
|03-Mart|0122101. (Su)|0.435|
||0451001. (Elektrik Ücreti)|0.3577|
||0452101. (Doğal Gaz)|1.0779|
||0830009. (İnternet Ücreti)|68.7486|
|04-Nisan|0122101. (Su)|0.4379|
||0451001. (Elektrik Ücreti)|0.3588|
||0452101. (Doğal Gaz)|1.0785|
||0830009. (İnternet Ücreti)|68.7486|
|05-Mayıs|0122101. (Su)|0.438|
||0451001. (Elektrik Ücreti)|0.3588|
||0452101. (Doğal Gaz)|1.0784|
||0830009. (İnternet Ücreti)|68.7486|
|06-Haziran|0122101. (Su)|0.441|
||0451001. (Elektrik Ücreti)|0.3588|
||0452101. (Doğal Gaz)|1.0777|
||0830009. (İnternet Ücreti)|68.7486|
|07-Temmuz|0122101. (Su)|0.442|
||0451001. (Elektrik Ücreti)|0.3589|
||0452101. (Doğal Gaz)|1.0772|
||0830009. (İnternet Ücreti)|68.7486|
|08-Ağustos|0122101. (Su)|0.4445|
||0451001. (Elektrik Ücreti)|0.3589|
||0452101. (Doğal Gaz)|1.0776|
||0830009. (İnternet Ücreti)|68.7486|
|09-Eylül|0122101. (Su)|0.448|
||0451001. (Elektrik Ücreti)|0.3589|
||0452101. (Doğal Gaz)|1.0784|
||0830009. (İnternet Ücreti)|68.7486|
|10-Ekim|0122101. (Su)|0.4478|
||0451001. (Elektrik Ücreti)|0.3913|
||0452101. (Doğal Gaz)|1.1639|
||0830009. (İnternet Ücreti)|68.7486|
|11-Kasım|0122101. (Su)|0.4493|
||0451001. (Elektrik Ücreti)|0.3913|
||0452101. (Doğal Gaz)|1.1663|
||0830009. (İnternet Ücreti)|68.7486|
|12-Aralık|0122101. (Su)|0.4513|
||0451001. (Elektrik Ücreti)|0.3913|
||0452101. (Doğal Gaz)|1.167|
||0830009. (İnternet Ücreti)|68.7486|
2015|01-Ocak|0122101. (Su)|0.4696|
||0451001. (Elektrik Ücreti)|0.3907|
||0452101. (Doğal Gaz)|1.1689|
||0830009. (İnternet Ücreti)|75.0485|
|02-Şubat|0122101. (Su)|0.4742|
||0451001. (Elektrik Ücreti)|0.3907|
||0452101. (Doğal Gaz)|1.1696|
||0830009. (İnternet Ücreti)|75.0485|
|03-Mart|0122101. (Su)|0.4799|
||0451001. (Elektrik Ücreti)|0.3907|
||0452101. (Doğal Gaz)|1.1717|
||0830009. (İnternet Ücreti)|75.0485|
|04-Nisan|0122101. (Su)|0.4855|
||0451001. (Elektrik Ücreti)|0.3904|
||0452101. (Doğal Gaz)|1.1752|
||0830009. (İnternet Ücreti)|75.0485|
|05-Mayıs|0122101. (Su)|0.488|
||0451001. (Elektrik Ücreti)|0.3904|
||0452101. (Doğal Gaz)|1.1773|
||0830009. (İnternet Ücreti)|75.0485|
|06-Haziran|0122101. (Su)|0.4916|
||0451001. (Elektrik Ücreti)|0.3904|
||0452101. (Doğal Gaz)|1.183|
||0830009. (İnternet Ücreti)|75.0485|
|07-Temmuz|0122101. (Su)|0.4898|
||0451001. (Elektrik Ücreti)|0.3906|
||0452101. (Doğal Gaz)|1.1876|
||0830009. (İnternet Ücreti)|75.0485|
|08-Ağustos|0122101. (Su)|0.4933|
||0451001. (Elektrik Ücreti)|0.3906|
||0452101. (Doğal Gaz)|1.1879|
||0830009. (İnternet Ücreti)|75.0485|
|09-Eylül|0122101. (Su)|0.495|
||0451001. (Elektrik Ücreti)|0.3906|
||0452101. (Doğal Gaz)|1.1895|
||0830009. (İnternet Ücreti)|75.0485|
|10-Ekim|0122101. (Su)|0.4995|
||0451001. (Elektrik Ücreti)|0.3903|
||0452101. (Doğal Gaz)|1.194|
||0830009. (İnternet Ücreti)|75.4412|
|11-Kasım|0122101. (Su)|0.4978|
||0451001. (Elektrik Ücreti)|0.3903|
||0452101. (Doğal Gaz)|1.1959|
||0830009. (İnternet Ücreti)|75.4412|
|12-Aralık|0122101. (Su)|0.5003|
||0451001. (Elektrik Ücreti)|0.3903|
||0452101. (Doğal Gaz)|1.1947|
||0830009. (İnternet Ücreti)|75.4412|
2016|01-Ocak|0122101. (Su)|0.5182|
||0451001. (Elektrik Ücreti)|0.4117|
||0452101. (Doğal Gaz)|1.1936|
||0830009. (İnternet Ücreti)|76.0468|
|02-Şubat|0122101. (Su)|0.5165|
||0451001. (Elektrik Ücreti)|0.4117|
||0452101. (Doğal Gaz)|1.1944|
||0830009. (İnternet Ücreti)|76.0468|
|03-Mart|0122101. (Su)|0.5192|
||0451001. (Elektrik Ücreti)|0.4117|
||0452101. (Doğal Gaz)|1.1955|
||0830009. (İnternet Ücreti)|76.0468|
|04-Nisan|0122101. (Su)|0.5255|
||0451001. (Elektrik Ücreti)|0.4123|
||0452101. (Doğal Gaz)|1.1949|
||0830009. (İnternet Ücreti)|76.0468|
